sentence,quarter,topic,topic_label
Maybe some topics that havent been touched on yet,2022 Q4,-1,General
"And, Steve, you called out investment in services and adjacencies, Id say",2022 Q4,0,Growth & Spending
"And also the international piece, expanding your merchant acceptance there",2022 Q4,-1,General
"So, just any callouts on adjacencies to B2B payments and your -- how that contributes to your long-term strategy? And then, international, I seem to recall Japan being an important market for you",2022 Q4,0,Growth & Spending
Saw some good growth internationally,2022 Q4,-1,General
"Japan reopened, Chinas reopening",2022 Q4,-1,General
Is there acceleration potential in international in 2023? Steve Squeri -- Chairman and Chief Executive Officer Yeah,2022 Q4,1,Executive & Financial
"Sol let me hit a couple of these topics, and hopefully, Ill remember them all that you went through",2022 Q4,-1,General
"But look, I think, international, you know, weve seen Inaudible really good and just look at the slides",2022 Q4,0,Growth & Spending
"Youve seen really good growth from not only a consumer perspective, which is over 20, but international, SME, and large corporations are growing at 32",2022 Q4,-1,General
"So -- and remember, pre-pandemic, those are the fastest-growing parts of our business",2022 Q4,0,Growth & Spending
"So, we expect that to continue to grow, which obviously Japan is part of it and one of our -- you know, one of our top markets",2022 Q4,-1,General
"From a -- from an acceptance perspective, we continue to grow, you know, acceptance internationally",2022 Q4,-1,General
"Were really happy with, you know, with the coverage gains that we -- that weve had",2022 Q4,0,Growth & Spending
And we continue to focus on that,2022 Q4,0,Growth & Spending
"You know, weve talked about focusing on priority cities",2022 Q4,-1,General
"We focused on, you know, all the categories, e-commerce and restaurants and lodging and tourist attractions, airlines, hotel, and so forth to get those up",2022 Q4,0,Growth & Spending
"But again, you know, with that, were getting 23 and 32 billings growth",2022 Q4,0,Growth & Spending
And our coverage is not where we want it to be yet,2022 Q4,0,Growth & Spending
And we will continue to invest in that coverage,2022 Q4,0,Growth & Spending
"Look, as far as B2B goes, B2B continues to be a good story for us, but its just a small part -- its a smaller part of the business",2022 Q4,0,Growth & Spending
"And, you know, we continue to invest in capabilities",2022 Q4,0,Growth & Spending
"And, you know, well continue to focus on B2B, but that will add not only to commercial spending, but that will also add to small business spending as well",2022 Q4,0,Growth & Spending
"And remember, 80 of the small business spending that we have is in the category of B2B spending",2022 Q4,0,Growth & Spending
"And so, well continue to hunt for that and, you know, try and automate more and more of those billings",2022 Q4,0,Growth & Spending
And its -- makes it easy to get on the card,2022 Q4,0,Growth & Spending
Operator Thank you,2022 Q4,2,Customer & Cards
The next question will be coming from Don Fandetti of Wells Fargo,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
Don Fandetti -- Wells Fargo Securities -- Analyst Hi,2022 Q4,1,Executive & Financial
"Steve, Im just curious if youve seen anything that sort of raised your concern level around competition in U.S",2022 Q4,0,Growth & Spending
consumer or small business,2022 Q4,0,Growth & Spending
"I mean, it seems, to us, like you might be pulling away a little bit from competitors",2022 Q4,0,Growth & Spending
Im not sure if your metrics suggest that or not,2022 Q4,-1,General
"Steve Squeri -- Chairman and Chief Executive Officer Well, I mean, you know, I dont -- we continually look to raise the bar",2022 Q4,1,Executive & Financial
"And, you know, I think that theres a lot of great competitors out there",2022 Q4,0,Growth & Spending
"Weve got, you know, JPMorgan and Bank of America and Wells Fargo and U.S",2022 Q4,1,Executive & Financial
Bank and Capital One,2022 Q4,-1,General
"And, you know, everybody is -- theyre all strong",2022 Q4,-1,General
"And they -- you know, I mean, they had all -- had pretty strong results from a growth perspective",2022 Q4,0,Growth & Spending
"But, you know, as I said, you know, in my remarks, the more value we continue to add, the more we get our flywheel working, the harder it is to catch up",2022 Q4,-1,General
"And, you know, were not resting on our laurels",2022 Q4,-1,General
And thats why we continue to invest,2022 Q4,0,Growth & Spending
"We continue to invest in value propositions, We continue to invest in capabilities",2022 Q4,0,Growth & Spending
We continue to invest in service,2022 Q4,0,Growth & Spending
"And so, are we increasing the distance between us and our competitors? I dont know",2022 Q4,0,Growth & Spending
I dont know how you measure that,2022 Q4,-1,General
But I think were -- our goal is to constantly make it hard for them to catch up,2022 Q4,-1,General
"And our goal is to make sure that were, you know, try and be one step, two steps, or three steps ahead of them",2022 Q4,-1,General
"And, you know, its flattering, actually, that theyre coming after the segments that were in",2022 Q4,0,Growth & Spending
"And, you know -- but competition is there and it is fierce",2022 Q4,0,Growth & Spending
"And, you know, for us, competition is just not U.S",2022 Q4,0,Growth & Spending
consumer,2022 Q4,0,Growth & Spending
"Its small business, its corporate, its international",2022 Q4,0,Growth & Spending
"And so, were fighting a lot of battles here in terms of, you know, defending our territory",2022 Q4,0,Growth & Spending
"But I think the team is doing a really, really good job",2022 Q4,-1,General
But were never going to rest,2022 Q4,-1,General
"And if, in fact, they stopped, we still keep going",2022 Q4,0,Growth & Spending
"So, it is really important",2022 Q4,0,Growth & Spending
"I think its one of the things that we decided a number of years ago that we would constantly refresh our products on a fairly regular basis and add value on an interim basis, which youve seen with our platinum card and our other products",2022 Q4,0,Growth & Spending
And I think thats really helped us out quite a bit,2022 Q4,-1,General
Operator Thank you,2022 Q4,2,Customer & Cards
Our final question will come from Lisa Ellis of MoffettNathanson,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
Lisa Ellis -- MoffettNathanson -- Analyst Terrific,2022 Q4,1,Executive & Financial
Thank you,2022 Q4,2,Customer & Cards
Thanks for squeezing me in,2022 Q4,-1,General
I had a question about international,2022 Q4,-1,General
The 26 of business growth in international really caught my eye because that figure is more than 2x of what Visa and MasterCard international credit growth was in the fourth quarter,2022 Q4,0,Growth & Spending
"And so, I was hoping to just dig in a little bit so -- into what, looking at your international business, is driving that and how sustainable it is",2022 Q4,0,Growth & Spending
It looks like its mostly driven by spending per card,2022 Q4,-1,General
The card growth isnt unusually high,2022 Q4,0,Growth & Spending
"So, is there a -- you know, Im trying to understand, is there a significant share gain going on? Is this acceptance that youre driving? Is there something unique about the geographic composition of the customer base? Can you just dig into that a little bit Inaudible? Thank you",2022 Q4,-1,General
